stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,Wards,Census Tracts,Zip Codes,Community Areas,Historical Wards 2003-2015
4669,NARRAGANSETT,57TH STREET,55N,1.3,7.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.788754', 'longitude': '-87.781737'}",15,589,22268,53,35
4670,NARRAGANSETT,58TH STREET,55N,1.6,21.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.786917', 'longitude': '-87.78167'}",15,589,22268,53,35
4671,NARRAGANSETT,59TH STREET,55N,1.2,14.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.78508', 'longitude': '-87.781602'}",15,589,22268,53,35
4672,NARRAGANSETT,60TH STREET,55N,1.2,14.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.783249', 'longitude': '-87.781538'}",15,335,22268,62,35
4673,NARRAGANSETT,61ST STREET,55N,0.0,5.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.781414', 'longitude': '-87.781469'}",15,335,22268,62,35
4674,NARRAGANSETT,62ND STREET,55N,0.5,8.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.779577', 'longitude': '-87.781402'}",15,335,22268,62,35
4675,63RD STREET,NARRAGANSETT,63W,4.8,27.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77774244', 'longitude': '-87.781455'}",15,335,22268,62,35
4676,63RD STREET,NATCHEZ,63W,2.4,19.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7777009', 'longitude': '-87.78360208'}",15,335,22268,62,35
4677,63RD STREET,NASHVILLE,63W,0.5,22.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77766492', 'longitude': '-87.78605096'}",15,335,22268,62,35
4678,63RD STREET,NORMANDY,63W,1.6,34.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77762193', 'longitude': '-87.78848487'}",15,335,22268,62,35
4679,63RD STREET,OAK PARK,63W,0.9,30.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7776022', 'longitude': '-87.79085713'}",15,335,22268,62,35
4680,63RD STREET,NEW ENGLAND(west leg),63W,0.1,12.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77751497', 'longitude': '-87.79338465'}",6,335,22268,62,35
4681,63RD STREET,SAYRE,63W,0.4,20.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77748855', 'longitude': '-87.79587707'}",6,335,22268,62,35
4682,63RD STREET,NOTTINGHAM,63W,1.3,29.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.777452', 'longitude': '-87.798497'}",6,335,22268,62,35
4684,HARLEM,63RD STREET,63W,1.4,20.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77695504', 'longitude': '-87.80104874'}",,,2733,,
4685,63RD STREET,HARLEM,63W,2.0,29.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77739382', 'longitude': '-87.8012621'}",,,2733,,
4686,63RD STREET,73RD AVENUE,"62H,63W",1.3,15.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77733521', 'longitude': '-87.80325227'}",,,2733,,
4687,63RD STREET,74TH AVENUE,"62H,63W",0.4,30.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77726123', 'longitude': '-87.80566527'}",,,2733,,
4688,63RD STREET,75TH AVENUE,"62H,63W",1.2,71.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77720393', 'longitude': '-87.80810831'}",,,2733,,
4689,63RD STREET,76TH AVENUE,"62H,63W",0.0,9.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7771518', 'longitude': '-87.81047141'}",,,2733,,
4693,PULASKI,115TH STREET,53A,156.8,1.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.684153', 'longitude': '-87.719956'}",42,264,4447,73,33
4694,PULASKI,111TH STREET,53A,142.5,16.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.69111357', 'longitude': '-87.72019258'}",42,264,4447,73,33
4695,PULASKI,107TH STREET,53A,17.4,2.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.69850895', 'longitude': '-87.72051155'}",42,369,4447,73,33
4696,PULASKI,103RD STREET,"53A,103",281.1,26.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.70566427', 'longitude': '-87.72079879'}",42,316,4447,73,33
4697,PULASKI,99TH STREET,53A,89.8,6.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.71300849', 'longitude': '-87.72093895'}",42,316,4447,73,33
4698,PULASKI,95TH STREET,53A,212.3,50.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.72077598', 'longitude': '-87.72110609'}",,,4459,,
4699,PULASKI,91ST STREET,53A,15.9,3.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.727867', 'longitude': '-87.721448'}",,,4459,,
4700,PULASKI,87TH STREET,53A,87.5,60.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.73455816', 'longitude': '-87.72130024'}",,,4459,,
4702,PULASKI,81ST STREET,79,0.0,0.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.746048', 'longitude': '-87.721583'}",30,199,4300,69,6
4703,PULASKI,81ST STREET,53A,86.3,12.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.74570772', 'longitude': '-87.72165196'}",30,199,4300,69,6
4704,PULASKI,79TH STREET,53A,449.7,152.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.74933807', 'longitude': '-87.72177424'}",30,199,4300,69,6
